"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Upper","25 Oct 2025, 19:56","25 Oct 2025, 21:00","","Incline Bench Press (Barbell)",,"",0,"normal",155,9,,,
"Upper","25 Oct 2025, 19:56","25 Oct 2025, 21:00","","Incline Bench Press (Barbell)",,"",1,"normal",155,7,,,
"Upper","25 Oct 2025, 19:56","25 Oct 2025, 21:00","","Incline Bench Press (Barbell)",,"",2,"normal",155,6,,,
"Upper","25 Oct 2025, 19:56","25 Oct 2025, 21:00","","Incline Bench Press (Barbell)",,"",3,"normal",135,8,,,
"Upper","25 Oct 2025, 19:56","25 Oct 2025, 21:00","","Pull Up (Weighted)",,"",0,"normal",25,8,,,
"Upper","25 Oct 2025, 19:56","25 Oct 2025, 21:00","","Pull Up (Weighted)",,"",1,"normal",25,7,,,
"Upper","25 Oct 2025, 19:56","25 Oct 2025, 21:00","","Pull Up (Weighted)",,"",2,"normal",,8,,,
"Upper","25 Oct 2025, 19:56","25 Oct 2025, 21:00","","Pull Up (Weighted)",,"",3,"normal",,6,,,
"Upper","25 Oct 2025, 19:56","25 Oct 2025, 21:00","","Behind the Back Curl (Cable)",,"",0,"normal",25,6,,,
"Upper","25 Oct 2025, 19:56","25 Oct 2025, 21:00","","Behind the Back Curl (Cable)",,"",1,"normal",22.5,7,,,
"Upper","25 Oct 2025, 19:56","25 Oct 2025, 21:00","","Behind the Back Curl (Cable)",,"",2,"normal",22.5,6,,,
"Upper","25 Oct 2025, 19:56","25 Oct 2025, 21:00","","Rope Triceps Overhead",,"",0,"normal",40,9,,,
"Upper","25 Oct 2025, 19:56","25 Oct 2025, 21:00","","Rope Triceps Overhead",,"",1,"normal",40,7,,,
"Upper","25 Oct 2025, 19:56","25 Oct 2025, 21:00","","Triceps Pushdown",,"",0,"normal",70,7,,,
"Upper","25 Oct 2025, 19:56","25 Oct 2025, 21:00","","Triceps Pushdown",,"",1,"normal",70,8,,,
"Upper","25 Oct 2025, 19:56","25 Oct 2025, 21:00","","Bent Over Row (Barbell)",,"",0,"normal",165,8,,,
"Upper","25 Oct 2025, 19:56","25 Oct 2025, 21:00","","Bent Over Row (Barbell)",,"",1,"normal",165,7,,,
"Upper","25 Oct 2025, 19:56","25 Oct 2025, 21:00","","Bent Over Row (Barbell)",,"",2,"normal",165,7,,,
"Legs","23 Oct 2025, 17:23","23 Oct 2025, 19:01","","Squat (Barbell)",,"",0,"normal",295,4,,,
"Legs","23 Oct 2025, 17:23","23 Oct 2025, 19:01","","Squat (Barbell)",,"",1,"normal",275,7,,,
"Legs","23 Oct 2025, 17:23","23 Oct 2025, 19:01","","Squat (Barbell)",,"",2,"normal",275,6,,,
"Legs","23 Oct 2025, 17:23","23 Oct 2025, 19:01","","Squat (Barbell)",,"",3,"normal",225,10,,,
"Legs","23 Oct 2025, 17:23","23 Oct 2025, 19:01","","Romanian Deadlift (Barbell)",,"",0,"normal",315,7,,,
"Legs","23 Oct 2025, 17:23","23 Oct 2025, 19:01","","Romanian Deadlift (Barbell)",,"",1,"normal",315,5,,,
"Legs","23 Oct 2025, 17:23","23 Oct 2025, 19:01","","Leg Extension (Machine)",,"",0,"normal",248,9,,,
"Legs","23 Oct 2025, 17:23","23 Oct 2025, 19:01","","Leg Extension (Machine)",,"",1,"normal",248,7,,,
"Legs","23 Oct 2025, 17:23","23 Oct 2025, 19:01","","Leg Extension (Machine)",,"",2,"normal",240,6,,,
"Legs","23 Oct 2025, 17:23","23 Oct 2025, 19:01","","Standing Calf Raise (Machine)",,"",0,"normal",365,11,,,
"Legs","23 Oct 2025, 17:23","23 Oct 2025, 19:01","","Standing Calf Raise (Machine)",,"",1,"normal",365,9,,,
"Legs","23 Oct 2025, 17:23","23 Oct 2025, 19:01","","Standing Calf Raise (Machine)",,"",2,"normal",365,8,,,
"Legs","23 Oct 2025, 17:23","23 Oct 2025, 19:01","","Standing Calf Raise (Machine)",,"",3,"normal",365,7,,,
"Legs","23 Oct 2025, 17:23","23 Oct 2025, 19:01","","Leg Raise Parallel Bars",,"",0,"normal",,20,,,
"Legs","23 Oct 2025, 17:23","23 Oct 2025, 19:01","","Leg Raise Parallel Bars",,"",1,"normal",,15,,,
"Legs","23 Oct 2025, 17:23","23 Oct 2025, 19:01","","Leg Raise Parallel Bars",,"",2,"normal",,12,,,
"Legs","23 Oct 2025, 17:23","23 Oct 2025, 19:01","","Leg Raise Parallel Bars",,"",3,"normal",,12,,,
"Legs","23 Oct 2025, 17:23","23 Oct 2025, 19:01","","Lateral Raise (Dumbbell)",,"",0,"normal",50,7,,,
"Legs","23 Oct 2025, 17:23","23 Oct 2025, 19:01","","Lateral Raise (Dumbbell)",,"",1,"normal",50,6,,,
"Legs","23 Oct 2025, 17:23","23 Oct 2025, 19:01","","Lateral Raise (Dumbbell)",,"",2,"normal",40,9,,,
"Legs","23 Oct 2025, 17:23","23 Oct 2025, 19:01","","Seated Leg Curl (Machine)",,"",0,"normal",148,7,,,
"Legs","23 Oct 2025, 17:23","23 Oct 2025, 19:01","","Seated Leg Curl (Machine)",,"",1,"normal",147,6,,,
"Legs","23 Oct 2025, 17:23","23 Oct 2025, 19:01","","Seated Leg Curl (Machine)",,"",2,"normal",140,6,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Pull Up (Weighted)",,"",0,"normal",25,8,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Pull Up (Weighted)",,"",1,"normal",25,7,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Pull Up (Weighted)",,"",2,"normal",,7,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Pull Up (Weighted)",,"",3,"normal",,8,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Bent Over Row (Barbell)",,"",0,"normal",165,8,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Bent Over Row (Barbell)",,"",1,"normal",165,7,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Bent Over Row (Barbell)",,"",2,"normal",155,8,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Preacher Curl (Barbell)",,"",0,"normal",50,9,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Preacher Curl (Barbell)",,"",1,"normal",50,7,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Preacher Curl (Barbell)",,"",2,"normal",45,8,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Preacher Curl (Barbell)",,"",3,"normal",45,7,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Rear Delt Reverse Fly (Cable)",,"",0,"normal",12.5,8,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Rear Delt Reverse Fly (Cable)",,"",1,"normal",12.5,6,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Rear Delt Reverse Fly (Cable)",,"",2,"normal",10,8,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Behind the Back Curl (Cable)",,"",0,"normal",22.5,8,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Behind the Back Curl (Cable)",,"",1,"normal",22.5,8,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Seated Cable Row - V Grip (Cable)",,"",0,"normal",160,8,,,
"Pull","22 Oct 2025, 13:42","22 Oct 2025, 15:02","Stay consistent kei….","Seated Cable Row - V Grip (Cable)",,"",1,"normal",160,8,,,
