"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_miles","duration_seconds","rpe"
"🎈","24 Oct 2025, 07:03","24 Oct 2025, 08:31","","Hang Snatch",,"BTK",0,"normal",85,1,,,
"🎈","24 Oct 2025, 07:03","24 Oct 2025, 08:31","","Hang Snatch",,"BTK",1,"normal",88,1,,,
"🎈","24 Oct 2025, 07:03","24 Oct 2025, 08:31","","Pause Below Knee Clean & Jerk",,"",0,"normal",90,2,,,
"🎈","24 Oct 2025, 07:03","24 Oct 2025, 08:31","","Pause Below Knee Clean & Jerk",,"",1,"normal",95,2,,,
"🎈","24 Oct 2025, 07:03","24 Oct 2025, 08:31","","Clean Pull",,"",0,"normal",130,3,,,
"🎈","24 Oct 2025, 07:03","24 Oct 2025, 08:31","","Clean Pull",,"",1,"normal",130,3,,,
"🎈","24 Oct 2025, 07:03","24 Oct 2025, 08:31","","Clean Pull",,"",2,"normal",130,3,,,
"🎈","24 Oct 2025, 07:03","24 Oct 2025, 08:31","","Reverse Hyperextension",,"",0,"normal",90,10,,,
"🎈","24 Oct 2025, 07:03","24 Oct 2025, 08:31","","Reverse Hyperextension",,"",1,"normal",90,10,,,
"🎈","24 Oct 2025, 07:03","24 Oct 2025, 08:31","","Reverse Hyperextension",,"",2,"normal",90,10,,,
"Poop","22 Oct 2025, 07:44","22 Oct 2025, 08:42","","No Feet Snatch",,"",0,"normal",83,1,,,
"Poop","22 Oct 2025, 07:44","22 Oct 2025, 08:42","","No Feet Snatch",,"",1,"normal",83,1,,,
"Poop","22 Oct 2025, 07:44","22 Oct 2025, 08:42","","No Feet Snatch",,"",2,"normal",83,1,,,
"Poop","22 Oct 2025, 07:44","22 Oct 2025, 08:42","","Clean and Jerk",,"",0,"normal",105,1,,,
"Poop","22 Oct 2025, 07:44","22 Oct 2025, 08:42","","Clean and Jerk",,"",1,"normal",105,1,,,
"Poop","22 Oct 2025, 07:44","22 Oct 2025, 08:42","","Clean and Jerk",,"",2,"normal",105,1,,,
"Poop","22 Oct 2025, 07:44","22 Oct 2025, 08:42","","Front Squat",,"",0,"normal",115,2,,,
"Poop","22 Oct 2025, 07:44","22 Oct 2025, 08:42","","Front Squat",,"",1,"normal",115,2,,,
"Poop","22 Oct 2025, 07:44","22 Oct 2025, 08:42","","Front Squat",,"",2,"normal",115,2,,,
"Poop","22 Oct 2025, 07:44","22 Oct 2025, 08:42","","Snatch High Pull",,"",0,"normal",100,2,,,
